sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"NHD-600-TRX","4K60Hz 4:4:4 SDVoE Transceiver","NetworkHD AVoIP","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-600-TRXF","4K60Hz 4:4:4 SDVoE Fiber Transceiver","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-600-TRXF","4K60Hz 4:4:4 SDVoE Fiber Transceiver","Camera / Capture","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-610-RX","4K60Hz 4:4:4 SDVoE Decoder","","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-610-RX","4K60Hz 4:4:4 SDVoE Decoder","NetworkHD AVoIP","Video Wall Processor","Video wall processor","Video Wall","high","VW / video wall naming"
"NHD-610-TX","4K60Hz 4:4:4 SDVoE Encoder","","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-610-TX","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD AVoIP","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-610-TX-V2","4K60Hz 4:4:4 SDVoE Encoder","","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-610-TX-V2","4K60Hz 4:4:4 SDVoE Encoder","NetworkHD AVoIP","NetworkHD 600","10G AV-over-IP endpoint","AV-over-IP","high","NHD-6xx SKU pattern"
"NHD-CTL-PRO-V2","Pro Controller for NetworkHD Series","","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-CTL-PRO-V2","Pro Controller for NetworkHD Series","NetworkHD AVoIP","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-RACK-1U","1U/2 Slot Rack Mount for NetworkHD TM 110/120/500/600/CTL","","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-RACK-1U","1U/2 Slot Rack Mount for NetworkHD TM 110/120/500/600/CTL","Accessory","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-RACK4-BLK","Blanking Plate for NHD-000-RACK4","","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-RACK4-BLK","Blanking Plate for NHD-000-RACK4","Accessory","NetworkHD","NetworkHD accessory / control","AV-over-IP","high","NetworkHD accessory/control naming"
"NHD-USB-TRX","USB 2.0 over IP Transceiver","","NetworkHD","AV-over-IP product","AV-over-IP","high","NHD / NetworkHD naming"
"NHD-USB-TRX","USB 2.0 over IP Transceiver","NetworkHD AVoIP","NetworkHD","AV-over-IP product","AV-over-IP","high","NHD / NetworkHD naming"
"RX-35-POH","4K60Hz 4:2:0 HDBaseT TM Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-35-POH","4K60Hz 4:2:0 HDBaseT TM Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-500","4K60Hz (4:2:0 8bit) HDBaseT 2.0 Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-500","4K60Hz (4:2:0 8bit) HDBaseT 2.0 Receiver","Camera / Capture","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-70-4K","4K60Hz 4:2:0 HDBaseT TM Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-70-4K","4K60Hz 4:2:0 HDBaseT TM Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-70-4K-SCL","4K60Hz 4:2:0 HDBaseT TM Scaling Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-70-4K-SCL","4K60Hz 4:2:0 HDBaseT TM Scaling Receiver","Extender / HDBaseT","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"RX-700","4K60Hz 4:2:0 HDBaseT Receiver","","Extender","Signal extender","Extension","high","EX SKU or extender naming"
