"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"CAB-USBC-15","USB-C Active Optical Cable (15m/49ft) - WyreStorm","USB-C Active Optical Cable (15m/49ft) - WyreStorm","Cable","Cable / request-only","Cable","Cable","cable","request-only","cable-prefix","The CAB-USBC-15 is an active optical USB-C to C cable capable of transmitting A/V and data 15m/49ft. USB data is rated up to Superspeed 5Gbps for fast file transfers or connecting USB 3.0 equipped devices such as conference cameras. The CAB-USBC-15 also supports Alt-Mode which allows 4K30 video to be transmitted from USB-C laptops or mobile devices. Pair this cable with a WyreStorm Apollo or presentation switcher to take advantage of the 60W power delivery so you can keep your device charged while you present.","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","USB-C; USB; Cable","CAB-USBC-15; USB-C Active Optical Cable (15m/49ft) - WyreStorm; Cable; Cable / request-only; USB-C; USB",
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","The CAM-0402-BRG is a compact and powerful 4K multi-camera video bridge designed to simplify video switching and integration for conferencing, streaming, recording, and hybrid events. Supporting up to four wired inputs (2x HDMI, 2x USB), this device delivers a unified video output via USB or HDMI â€” all in stunning 4K resolution. Whether you're combining professional cameras or document cameras from across the network, the CAM-0402-BRG offers seamless multiview capabilities and flexible control options via Buttons,...","USB; HDMI; Seamless Switching; Multiview; Camera / Capture","USB; HDMI; Seamless Switching; Multiview; Camera / Capture","USB; HDMI; Seamless Switching; Multiview; Camera / Capture","USB; HDMI; Seamless Switching; Multiview; Camera / Capture","CAM-0402-BRG; 4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm; Product; Primary hardware; USB; HDMI; Seamless Switching; Multiview; Camera / Capture",
"CAM-0402-NDI-BRG","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","The CAM-0402-NDI-BRG is a compact and powerful 4K multi-camera video bridge designed to simplify video switching and integration for conferencing, streaming, recording, and hybrid events. Supporting up to four wired inputs (2x HDMI, 2x USB) and four network-based NDI streams, this device delivers a unified video output via USB, HDMI, or NDI â€” all in stunning 4K resolution. Whether you're combining professional cameras, document cameras, or NDI sources from across the network, the CAM-0402-NDI-BRG offers seamless mu...","USB; HDMI; NDI; Seamless Switching; Camera / Capture","USB; HDMI; NDI; Seamless Switching; Camera / Capture","USB; HDMI; NDI; Seamless Switching; Camera / Capture","USB; HDMI; NDI; Seamless Switching; Camera / Capture","CAM-0402-NDI-BRG; 4K Multi-Camera Video Bridge with USB, HDMI & NDI Inputs & Outputs - WyreStorm; Product; Primary hardware; USB; HDMI; NDI; Seamless Switching; Camera / Capture",
"CAM-200-PTZ","1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm","1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","DISCONTINUED Part of the Unified Communication line of products, the CAM-200-PTZ offers a premium video conferencing experience. HD 1080p video ensures users appear crystal clear in their meetings. A high-quality pan and tilt motor provides a smooth experience without excess noise or judder. Equipped with dual outputs, the CAM-200-PTZ can output video via its USB 3.0 port or the network connection. 3rd-party control is a breeze by utilizing the industry standard VISCA protocol. An integrated web interface and free...","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","USB; Camera / Capture","CAM-200-PTZ; 1080p HD PTZ Conference Camera with USB 3.0 & Network Output - WyreStorm; Product; Primary hardware; USB; Camera / Capture",
"CAM-210-NDI-PTZ","CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm","CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","Capture crystal-clear 1080p60 video with the WyreStorm CAM-210-NDI-PTZ camera, featuring NDI, HDMI, USB-C & network outputs, smooth pan/tilt/zoom, auto-framing and presenter tracking for professional AV, conferencing & streaming setups.","USB-C; USB; HDMI; NDI; Camera / Capture","USB-C; USB; HDMI; NDI; Camera / Capture","USB-C; USB; HDMI; NDI; Camera / Capture","USB-C; USB; HDMI; NDI; Camera / Capture","CAM-210-NDI-PTZ; CAM-210-NDI-PTZ 1080p60 Camera with with USB 3.0 - Pro AV & Streaming - WyreStorm; Product; Primary hardware; USB-C; USB; HDMI; NDI; Camera / Capture",
"CAM-210-PTZ","PTZ Camera with AI Tracking | CAM-210-PTZ 1080p â€“ WyreStorm","PTZ Camera with AI Tracking | CAM-210-PTZ 1080p â€“ WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","Buy the CAM-210-PTZ 1080p PTZ camera with AI tracking, USB 3.0 and HDMI outputs, delivering precise pan/tilt/zoom control for professional AV, conferencing, and live streaming installations.","USB; HDMI; Camera / Capture","USB; HDMI; Camera / Capture","USB; HDMI; Camera / Capture","USB; HDMI; Camera / Capture","CAM-210-PTZ; PTZ Camera with AI Tracking | CAM-210-PTZ 1080p â€“ WyreStorm; Product; Primary hardware; USB; HDMI; Camera / Capture",
"CAM-420-PTZ","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","4K Dual-Lens AI PTZ Camera with AI features - WyreStorm","Camera / Capture","Primary hardware","Camera / Capture","Camera / Capture","primary-hardware","default","exact-sku-override","The CAM-420-PTZ is a 4K dual-lens AI tracking camera design for medium room and huddle room, providing a 3x optical zoom PTZ camera with DFOV 110Â°and a second panoramic lens with DFOV 120. It offers built-in 4 mics to detect human voice and audio tracking function. AI technology includes Auto Framing, Speaker Tracking, Presenter Tracking, and Individuals Gallery to enhance the meeting experience. Additionally, this camera also supports â€˜multiple installations options whether on a conference table, top of TV, mounte...","Camera / Capture","Camera / Capture","Camera / Capture","Camera / Capture","CAM-420-PTZ; 4K Dual-Lens AI PTZ Camera with AI features - WyreStorm; Product; Primary hardware; Camera / Capture",
"COM-MIC-HUB","Microphone Hub - WyreStorm","Microphone Hub - WyreStorm","Audio / Control","Primary hardware","Audio / Control","Audio / Control","primary-hardware","default","exact-sku-override","The COM-MIC-HUB is a versatile microphone hub designed to integrate seamlessly with a variety of microphones and speakers, making it an essential audio solution for educational and conference environments. Compared to other microphone hubs, it features a wireless receiver port, enabling support for wireless microphones. The built-in professional audio DSP enhances both local and remote audio performance, ensuring clear and optimized sound quality for all participants. The COM-MIC-HUB delivers a high-quality, user-f...","Seamless Switching; Wireless Casting; Audio / Control","Seamless Switching; Wireless Casting; Audio / Control","Seamless Switching; Wireless Casting; Audio / Control","Seamless Switching; Wireless Casting; Audio / Control","COM-MIC-HUB; Microphone Hub - WyreStorm; Product; Primary hardware; Seamless Switching; Wireless Casting; Audio / Control",
"COMPANIONCONTROL","Companion Control App for NetworkHD 100, 400, 500 & 600 Series - WyreStorm","Companion Control App for NetworkHD 100, 400, 500 & 600 Series - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","control-rule","Companion Control provides additional capability to a NetworkHD system by working seamlessly with NetworkHD hardware and the NetworkHD Touch app. Companion adds the ability to control source devices by leveraging already existing hardware and the NetworkHD API. The app offers an incredibly quick and intuitive experience driven by a wizard-guided setup. Preloaded control commands for the industryâ€™s most common source devices such as DirecTV, SKY, Apple TV, Roku and more are available with a modern user interface tha...","AVoIP; NetworkHD; Seamless Switching; Audio / Control","AVoIP; NetworkHD; Seamless Switching; Audio / Control","AVoIP; NetworkHD; Seamless Switching; Audio / Control","AVoIP; NetworkHD; Seamless Switching; Audio / Control","COMPANIONCONTROL; Companion Control App for NetworkHD 100, 400, 500 & 600 Series - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; Seamless Switching; Audio / Control; System controller / conditional-default",
"CON-H2-DD-EARC","4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm","4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","control-rule","DISCONTINUED Bringing the latest technology currently only seen on the latest HDMI 2.1 devices the CON-H2-DD-EARC tackles the demands of today's technology head-on and provides a multi-pronged approach to the challenges of the modern residential AV system. It combines a powerful set of features that can both down-mix Dolby TrueHD or DTS-HD audio to stereo and scale incoming 4K UHD content to 1080p. The DSP-controlled stereo audio output allows adjustment of both volume and EQ via a control system and the unit can b...","HDMI; Scaling; Audio / Control","HDMI; Scaling; Audio / Control","HDMI; Scaling; Audio / Control","HDMI; Scaling; Audio / Control","CON-H2-DD-EARC; 4K/60 In-line HDMI Scaler with DSP-Controlled Audio Breakout, Dolby TrueHD & DTS-HD Downmixing and eARC Output - WyreStorm; Product; Primary hardware; HDMI; Scaling; Audio / Control; System controller / conditional-default",
"CON-H2-EDID","4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm","4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","control-rule","DISCONTINUED A multi-purpose installer tool, the CON-H2-EDID can perform a variety of tasks within an install. As an in-line device, it can act as an EDID manager to request specific content from a source, or as an audio de-embedder, extracting HDMI source audio via the S/PDIF or stereo mini-jack ports. Additionally, it can be a micro zone controller, sending CEC and RS-232 power triggers to connected projectors or screens and from its two relay ports, and can trigger devices in the zone using signal presence logic...","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","HDMI; Audio / Control","CON-H2-EDID; 4K60 In-line Signal Re-Clocker with EDID Management - WyreStorm; Product; Primary hardware; HDMI; Audio / Control; System controller / conditional-default",
"CON-H2-SCL","4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm","4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","DISCONTINUED An essential tool when mixing 4K & 2K screens on the same distribution system, the CON-H2-SCL enables in-line scaling of HDMI content. An HDMI signal from a source device, DA or matrix is converted so that it can be accepted by the connected display. Via a powerful scaling chip, 4K/60 4:4:4 or 4:2:0 can be down-scaled to as low as 480P; likewise, content can be up-scaled to 4K/60 4:4:4. Set up & configuration is done using a simple PC tool which is part of WyreStorm Management Suite V1.6. The software...","Matrix; Switching; HDMI; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Accessory","Matrix; Switching; HDMI; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Accessory","Matrix; Switching; HDMI; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Accessory","Matrix; Switching; HDMI; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Accessory","CON-H2-SCL; 4K60 In-Line HDMI Scaler with Audio Breakout - WyreStorm; Matrix Switcher; Seamless scaling matrix switcher; Matrix; Switching; HDMI; Scaling; Multiview; Multi-view; Picture-in-Picture; PIP; Quad view; multi-window; multiple sources on one output; Seamless Scaling Matrix; Accessory; Primary hardware",
"EX-100-G2","4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm","4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Unleash the full potential of your 4K HDMI devices with the EX-100-G2. This compact, plug-and-play solution extends high-quality video signals over a single Cat 5e/6/6A/7 cable, making it perfect for a wide range of applications from home theaters to corporate training environments. Say goodbye to cable clutter and hello to seamless, long-distance signal transmission.","HDBaseT; HDMI; Seamless Switching; Extender / HDBaseT","HDBaseT; HDMI; Seamless Switching; Extender / HDBaseT","HDBaseT; HDMI; Seamless Switching; Extender / HDBaseT","HDBaseT; HDMI; Seamless Switching; Extender / HDBaseT","EX-100-G2; 4K HDBaseT Extender Set with Bi-directional PoC, IR, RS-232, and EDID Support - WyreStorm; Cable; Cable / request-only; HDBaseT; HDMI; Seamless Switching; Extender / HDBaseT; Endpoint hardware",
"EX-100-H2","100m 4K HDBaseT Extender with USB - WyreStorm","100m 4K HDBaseT Extender with USB - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","DISCONTINUED The EX-100-H2 uses the powerful HDBaseT 2.0 chipset to send along 4K, USB, PoH and HD audio up to 100m/328ft with a single Cat 6 cable. This extender hosts the perfect combination of features to give you the tools you need to set up your next conference or presentation. With separate audio lanes, youâ€™re free to send audio independently to overlay your presentation. With data transfers in mind, the EX-100-H2 is equipped with the fastest USB hardware HDBaseT is currently capable of; USB 2.0 and up to 190...","HDBaseT; USB; Extender / HDBaseT","HDBaseT; USB; Extender / HDBaseT","HDBaseT; USB; Extender / HDBaseT","HDBaseT; USB; Extender / HDBaseT","EX-100-H2; 100m 4K HDBaseT Extender with USB - WyreStorm; Cable; Cable / request-only; HDBaseT; USB; Extender / HDBaseT; Endpoint hardware",
"EX-100-H2-EARC","100m 4K60 AVX Extender with eARC - WyreStorm","100m 4K60 AVX Extender with eARC - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","Extend 18Gbps A/V signals up to 100 meters with the EX-100-H2-EARC. This extender uses AVX technology, a similar transmission that is found inside our powerful NetworkHD 600 series, to send 4K HDR and Dolby Vision content at 60Hz. Compatible with eARC, you can transmit audio signals such as Dolby TrueHD/Atmos and DTS-HD MA 7.1 signals from a smart TV back to an eARC enabled AVR or soundbar. Flexible control passthrough options including IR, RS-232 and LAN allow you control a display and get devices connected over l...","AVoIP; NetworkHD; Extender / HDBaseT","AVoIP; NetworkHD; Extender / HDBaseT","AVoIP; NetworkHD; Extender / HDBaseT","AVoIP; NetworkHD; Extender / HDBaseT","EX-100-H2-EARC; 100m 4K60 AVX Extender with eARC - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; Extender / HDBaseT; Endpoint hardware",
"EX-100-IW-USBC","100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm","100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm","Extender / HDBaseT","Endpoint hardware","Extender / HDBaseT","Extender / HDBaseT","endpoint-hardware","default","extender-endpoint-rule","A versatile and powerful solution for extending your USB connectivity. Engineered to support the latest USB 3.2 Gen 1 standard, this extender offers rapid data transfer speeds of up to 5Gbps, ideal for a variety of high-performance USB peripherals. Its four-port design allows for simultaneous connection of multiple devices. With a remarkable capability to extend USB signals up to 100 meters, it ensures reliable, long-distance connectivity in a convenient form factor.","USB-C; USB; Extender / HDBaseT","USB-C; USB; Extender / HDBaseT","USB-C; USB; Extender / HDBaseT","USB-C; USB; Extender / HDBaseT","EX-100-IW-USBC; 100m USB 3.2 Single Gang In-Wall HDBT-USB3 Transmitter and Receiver Kit - WyreStorm; Product; Primary hardware; USB-C; USB; Extender / HDBaseT; Endpoint hardware",
