"Extension","Files","MB"
".bak-fix-template-staged-state-20260627-095145","1","0.02"
".backup-vp551x-20260704-214915","1","0.01"
".backup-inline-layout-test-20260610-093254","2","0.01"
".example","2","0.01"
".yml","4","0.01"
".backup-20260613-082024","1","0.01"
".env","1","0.01"
".backup-20260613-090435","1","0.01"
".backup-schema-repair-20260704-211654","1","0.01"
".bak-disable-duplicate-alpha-20260628-045857","1","0.01"
".bak-final-remove-live-call-card-20260627-175027","1","0.01"
".backup-20260610-080130","1","0.01"
".bak-remove-callcoach-loop-20260627-143501","1","0.01"
".backup-simple-select-20260610-085354","1","0.01"
".bak-lazy-guru-20260622-203328","1","0.01"
".bak-remove-inbound-call-tile-20260627-174725","1","0.01"
".backup-20260710-063147","1","0.01"
".bak-fix-stale-compare-manufacturer-20260627-111058","1","0.01"
".bak-lazy-guru-tidy-20260622-203517","1","0.01"
".backup-20260710-065306","1","0.01"
".bak-remove-alpha-actual-readout-20260627-193650","1","0.01"
".bak-remove-alpha-readout-20260627-190847","1","0.01"
".bak-remove-redundant-call-buttons-20260627-153111","4","0.01"
".backup-direct-visible-layout-20260610-093028","1","0.01"
".bak-repair-callcoach-page-20260627-175237","1","0.01"
".backup-spacing-direct-20260610-092318","1","0.01"
".backup-20260611-104315","1","0.01"
".backup-hide-old-mic-20260610-103704","1","0.01"
".backup-export-fix-20260610-084033","1","0.01"
".backup-20260611-112414","1","0.01"
".bak-20260612-064745","1","0"
".backup-20260710-141236","1","0"
".bak-optional-nonblocking-20260628-063453","1","0"
".backup-20260710-141324","1","0"
".bak-no-npmcmd-spawn-20260628-064026","1","0"
".local","1","0"
".template","1","0"
".backup-20260610-083612","1","0"
".dockerignore","1","0"
".bak-20260612-064510","1","0"
".bak-sales-facing-language-20260627-142951","2","0"
".bak-20260612-063429","1","0"
".tmp","1","0"
".backup-20260610-081506","1","0"
".html","2","0"
".yaml","1","0"
".bak-compact-guru-bridge-20260612-083248","1","0"
".backup-20260610-082746","1","0"
".backup-mic-align-20260610-090057","1","0"
".backup-mic-direct-20260610-092318","1","0"
".backup-remove-marker-20260610-103704","1","0"
".backup-alpha-filter-clean-20260615-111736","1","0"
".backup-alpha-filter-duplicate-20260615-111650","1","0"
".backup-remove-mic-runtime-20260610-093028","1","0"
".bak-20260702-070134","1","0"
".bak-20260702-071939","1","0"
".bak-20260702-071205","1","0"
".bak-20260702-070829","1","0"
".bak-callcards-legacy-redirect-20260627-175426","1","0"
".bak-direct-runner-guard-20260628-063011","1","0"
".bak-20260702-063029","1","0"
"(none)","2","0"
".server","1","0"
".js","3","0"
".backup-before-schema-aware-check","1","0"
".gitattributes","1","0"
".gitignore","1","0"
