"Selector","Occurrences","Files"
"div)[class*=""card""]","4","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-flow-step","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-topbar-page-summary","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-link[aria-current=""page""]","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-project-detail-page","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"small","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-action-button","4","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-command-band > .wm-dashboard-resume-card","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-quality-summary","4","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""projects""] .wm-project-detail-editor","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-toolbar","4","src\wingman2\styles\wingman-workflow-theme.css"
".wm-dashboard-resume-actions","4","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-resume-topline","4","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-summary","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-card","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-manager-header","4","src\wingman2\styles\wingman-workflow-theme.css"
".wm-product-family-picker-grid","4","src\wingman2\styles\wingman-polish-navigation.css"
".wm-discovery-capture-card","4","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-card-link","4","src\wingman2\styles\wingman-style-stack.css"
".wm-templates-page .wm-template-direction","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wingman-app-main > .wingman-page-host","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-workspace .wingman-app-main","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-step-pill-group","4","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""home""] .wingman-app-main > .wingman-page-host","4","src\wingman2\styles\wingman-style-stack.css"
".wm-product-pitch-page","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-catalog-page","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-shell .wm-dashboard-projects-section .wm-dashboard-section-head","4","src\wingman2\styles\wingman-style-stack.css"
"button.wingman-guru-fab","4","src\wingman2\styles\wingman-style-stack.css"
"*","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css"
".wm-btn","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"main.wm-dashboard-shell section.wm-dashboard-projects-section .wm-dashboard-project-card","4","src\wingman2\styles\wingman-style-stack.css"
".wm-input","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-main","4","src\wingman2\styles\wingman-style-stack.css"
".button","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-template-library-page.is-name-only-mode .wm-template-card-grid","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-nav","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-nav-icon","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-navhub-page","4","src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host h2","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-page-host h1","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-brand","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-project-draft-grid","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css"
".wm-status","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-option-list","4","src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""dashboard""] main.wm-dashboard-page.wm-dashboard-shell.wm-dashboard-visual-root[data-wingman-page=""home""]","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""discovery""] .wm-discovery-capture-card","4","src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"html[data-wingman-route=""templates""] .wm-template-library-toolbar","4","src\wingman2\styles\wingman-workflow-theme.css"
".wm-polish-shell .wm-polish-grid","4","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css"
".wm-intelligence-page","4","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-projects-section","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""data-manager""] .wm-data-toolbar select","3","src\wingman2\styles\wingman-workflow-theme.css"
".wm-finder-redesign-page .wm-finder-quickstart","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] main > section:first-of-type","3","src\wingman2\styles\wingman-style-stack.css"
"body.wm-product-finder-active .finder-start-form","3","src\wingman2\styles\wingman-style-stack.css"
".wm-schematic-device-block","3","src\wingman2\styles\wingman-style-stack.css"
".wm-ui-input","3","src\wingman2\styles\wingman-style-stack.css"
".wm-schematic-network-strip","3","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-redesign-page .wingman-hero-purpose","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-projects-section .wm-ui-title","3","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-redesign-page .wingman-section-card","3","src\wingman2\styles\wingman-style-stack.css"
".wm-finder-redesign-page","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] .wm-projects-page > section:first-of-type","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""dashboard""] .wm-dashboard-brand","3","src\wingman2\styles\wingman-style-stack.css"
"html[data-wingman-route=""projects""] [data-wingman-page=""projects""] > section:first-of-type","3","src\wingman2\styles\wingman-style-stack.css"
