"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"backups\product-pitch-viewport-final-20260711-065855\wingman-style-stack.css","541.62","17986","4976","4","3","115"
"backups\product-pitch-viewport-balance-20260711-065406\wingman-style-stack.css","540.71","17952","4965","4","3","115"
"backups\product-pitch-bottom-layout-20260711-064913\wingman-style-stack.css","540.65","17948","4961","4","3","115"
"backups\product-pitch-viewport-20260711-064326\wingman-style-stack.css","538.1","17858","4921","4","3","114"
"backups\product-pitch-overflow-20260711-063831\wingman-style-stack.css","536.09","17823","4827","4","3","113"
"backups\product-call-cards-layout-20260711-063325\wingman-style-stack.css","532.75","17697","4766","4","3","111"
"backups\product-pitch-selector-20260711-061121\wingman-style-stack.css","532.75","17697","4766","4","3","111"
".wingman-backups\dashboard-guru-20260712-092949\src\wingman2\styles\wingman-style-stack.css","489.64","15800","4436","4","1","94"
".wingman-backups\dashboard-guru-20260712-092537\src\wingman2\styles\wingman-style-stack.css","461.7","15996","4593","4","1","90"
"src\wingman2\styles\wingman-workflow-theme.css","245.48","5858","2856","3","0","44"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css","168.25","4535","2383","3","0","39"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css","168.25","4535","2383","3","0","39"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css","168.25","4535","2383","3","0","39"
"src\wingman2\styles\wingman-polish-navigation.css","98.32","3056","1515","1","0","27"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-polish-navigation.css","98.32","3056","1515","1","0","27"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-polish-navigation.css","98.32","3056","1515","1","0","27"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-polish-navigation.css","98.32","3056","1515","1","0","27"
"_backups\simplify-discovery-distance-20260720-072413\wingman-workflow-theme.css","74.48","2458","1226","0","0","21"
"_backups\remove-discovery-trail-20260720-065201\wingman-workflow-theme.css","72.37","2392","1191","0","0","20"
"_backups\products-lighter-card-art-20260720-090650\src\wingman2\styles\wingman-polish-navigation.css","68.65","1964","1084","1","0","14"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_style_audit_fix_20260630-073901\src\wingman2\styles\wingman-redesign-theme.css","58.74","1617","550","2","0","7"
"archive\repo-cleanup-20260709-050830\root-artifacts\install.DISCARDED\wingman-redesign-theme.css","36.39","1152","286","1","0","3"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-reference-theme.css","32.56","1222","294","1","0","5"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-reference-theme.css","32.56","1222","294","1","0","5"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-reference-theme.css","32.56","1222","294","1","0","5"
"src\wingman2\styles\wingman-reference-theme.css","32.56","1222","294","1","0","5"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_visual_contract_20260630-132122\src\wingman2\styles\wingman-redesign-theme.css","29.7","832","345","1","1","3"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_home_navhub_header_20260630-133036\src\wingman2\styles\wingman-redesign-theme.css","28.56","821","344","1","1","3"
