"Path","Extension","Lines","KB"
".wingman-work\backups\20260811-125346\src\wingman2\lib\roomTemplates.ts",".ts","3283","178.8"
".wingman-work\backups\20260811-125821\src\wingman2\lib\roomTemplates.ts",".ts","3283","178.8"
"src\wingman2\lib\roomTemplates.ts",".ts","3283","178.8"
"data\wingman-data-maintenance-queue.json",".json","3142","103.67"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-polish-navigation.css",".css","3056","98.32"
"src\wingman2\styles\wingman-polish-navigation.css",".css","3056","98.32"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-polish-navigation.css",".css","3056","98.32"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-polish-navigation.css",".css","3056","98.32"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\pages\FinderPage.tsx",".tsx","3047","120.27"
"archive\backups\presales-priority-1-5-2026-06-08_10-20-58\src\wingman2\pages\FinderPage.tsx",".tsx","3047","120.21"
"_backups\remove-discovery-trail-20260720-065201\DiscoveryPage.tsx",".tsx","2706","104.77"
"_backups\retire-finder-feature-sweep-v4-20260720-085242\files\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2673","103.05"
"_backups\retire-finder-feature-sweep-v3-20260720-084642\files\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2673","103.05"
"_backups\retire-finder-feature-sweep-v5-20260720-085648\files\src\wingman2\pages\DiscoveryPage.tsx",".tsx","2673","103.05"
"_backups\simplify-discovery-distance-20260720-072413\DiscoveryPage.tsx",".tsx","2670","103.03"
"_backups\discovery-finder-handoff-v3-20260720-080002\DiscoveryPage.tsx",".tsx","2665","102.95"
"_backups\discovery-finder-handoff-v2-20260720-075526\DiscoveryPage.tsx",".tsx","2665","102.95"
"server\competitor-lookup-server.mjs",".mjs","2578","78.85"
"_backups\simplify-discovery-distance-20260720-072413\wingman-workflow-theme.css",".css","2458","74.48"
